Mark P. O. Morford,1
Robert J. Lenardon,2
Richard Bruce Wright,3
Carlo D'Este,4
Gina Kolata,5
Elizabeth Wayland Barber,6
E. J. W. Barber,7
Amy Tan,8
Robert Cowley,9
Scott Turow,10
Stacy Keach,11
David Cordingly,12
Ann Beattie,13
David Adams Richards,14
Kensington,15
Sheila Heti,16
J. R. Kaiser,17
Jack Canfield,18
Mark Victor Hansen,19
Jennifer Read Haw,20
Loren D. Estleman,21
John Kenneth,22
Robert Hendrickson,23
Julia Oliver,24
John Grisham,25
Toni Morrison,26
The Onion,27
Scott Dikkers,28
Mike Loew,29
Celia Brooks Brown,30
Jane Noraika,31
Philip Webb,32
J. R. Parrish,33
Mary-kate &amp; Ashley Olsen,34
Robynn Clairday,35
Kathleen Duey,36
Karen A. Bale,37
Bill Dodge,38
Rich Shapero,39
Michael Crichton,40
C.S. Lewis,41
Arthur Phillips,42
Stephen Jaramillo,43
Mordecai Richler,44
Michael Panofsky,45
Anette Grube,46
Eleanor Cooney,47
Daniel Altieri,48
Charlotte Link,49
Richard North Patterson,50
Kristian Lutze,51
Mark Salzman,52
Harper Lee,53
Laura Hillenbrand,54
Barbara Kingsolver,55
Jo Dereske,56
Jane Austen,57
Dolores Krieger,58
Anne Rivers Siddons,59
Dean Koontz,60
Mary Higgins Clark,61
Patricia Cornwell,62
J.D. Robb,63
Maeve Binchy,64
Laura J. Mixon,65
Tim LaHaye,66
Jerry B. Jenkins,67
Bernie S. Siegel M.D.,68
Robert Penn Warren,69
Hans Johannes Hoefer,70
Mark Helprin,71
O. Carl Simonton M.D.,72
James Creighton Ph.D.,73
Stepha,74
Chuck Hill,75
David Iglehart,76
Larry McMurtry,77
Suzanne Fisher Staples,78
Michel Tournier,79
Carl Sagan,80
Aleksandr Zinoviev,81
Anne Tyler,82
Joseph Conrad,83
Deepak Chopra,84
Martin Greenberg,85
Thomas Hardy,86
Charles Noland,87
Sherri Baker,88
Valerie Frankel,89
Benjamin Hoff,90
Niccolo Machiavelli,91
H. Jackson Brown Jr.,92
Robert A. Heinlein,93
Philip Pullman,94
,95
Michael Ondaatje,96
Sandra Levy Ceren,97
P. J. O'Rourke,98
Mike Gayle,99
Stel Pavlou,100
Sarah Payne Stuart,101
Dan Quayle,102
Donald F. Kettl,103
Donald Kettl,104
David Frum,105
Louis L'Amour,106
J.D. Salinger,107
John Berendt,108
Jennifer Crusie,109
Jane Heller,110
Michael Rips,111
Simon Mawer,112
William Abrahams,113
Robert T. Kiyosaki,114
Sharon L. Lechter,115
Ken Follett,116
John F. Love,117
Robert G. Allen,118
Louis De Bernieres,119
Pam Proctor,120
Allen M. Schoen,121
Mitch Albom,122
Michael Jan Friedman,123
Ronald D. Moore,124
Glendon Swarthout,125
Neal Barrett Jr.,126
J. Michael Straczynski,127
David Morrell,128
Sandra Brown,129
James Patterson,130
Peter De Jonge,131
Stuart Woods,132
Iris Johansen,133
Dan Brown,134
Joe Hutsko,135
Anita Shreve,136
Ann Rule,137
Lewis Grizzard,138
Paul Theroux,139
Charles Hickey,140
Todd Lighty,141
John O'Brien,142
Stephen King,143
Ben Mezrich,144
Bill Hand,145
Tom Clancy,146
Dana Reeve,147
Roy,148
Barbara Metzger,149
Gabriel Garcia Marquez,150
Rebecca Wells,151
Tony Hillerman,152
Robert James Waller,153
Rachel Harris,154
Ian McEwan,155
Michael Lewis,156
Richard Zimler,157
Norman Jetmundsen,158
Lorenzo Carcaterra,159
Anne Frasier,160
Kay Hooper,161
Daphne Du Maurier,162
Nathaniel Hawthorne,163
Leo Marx,164
Nick Page,165
Laura Wolf,166
Lois Duncan,167
Susan Grant,168
Barbara Vine,169
Shirley Rousseau Murphy,170
Jane Lindskold,171
Betty Smith,172
Cybill Shepherd,173
Aimee Lee Ball,174
Stewart O'Nan,175
David Baldacci,176
Douglas Adams,177
Mary Lawson,178
Willa Cather,179
Olivia Goldsmith,180
Helen Fielding,181
Dover Thrift Editions,182
Franklin W. Dixon,183
Lilian Jackson Braun,184
Holly Virden,185
Michelle McKinney Hammond,186
H. Norman Wright,187
Piers Anthony,188
Ray Bradbury,189
Friedrich Schiller,190
Walter Schafarschik,191
Peter Naujack,192
Raymond Chandler,193
Hans Wollschläger,194
Thomas Schlück,195
Norbert Wölfl,196
Alexander Schmitz,197
Jürgen Bauer,198
Alastair Ker,199
Paulo Coelho,200
Maralde Meyer-Minnemann,201
Gabriel García Márquez,202
Fay Weldon,203
Arabella Weir,204
Kiana Davenport,205
Margarete Längsfeld,206
Sue Townsend,207
Renan Demirkan,208
Michael Moore,209
Helmut Dierlamm,210
Heike Schlatterer,211
Jonathan Franzen,212
Bettina Abarbanell,213
J. D. Salinger,214
Annemarie Böll,215
Heinrich Böll,216
Elisab,217
James Joyce,218
Joanna Trollope,219
Antoinette Gittinger,220
Milan Kundera,221
Arundhati Roy,222
Robert S. Levinson,223
Lorna Landvik,224
Arthur Golden,225
Kent Haruf,226
Patricia D Cornwell,227
Patricia D. Cornwell,228
Carol J. Farley,229
Tom Newsom,230
Kathleen E. Woodiwiss,231
Belva Plain,232
Mark Haddon,233
Ann Brashares,234
Erich Segal,235
Elizabeth Adler,236
Nicholas Sparks,237
John Saul,238
Steve Thayer,239
Tracy Chevalier,240
Judith Kelman,241
Michael Palmer,242
Francine Hughes,243
Norman Bridwell,244
Frank McCourt,245
Malachy Mccourt,246
Mari Sandoz,247
Anne Perry,248
Alexander Mccall Smith,249
Barbara Bergman,250
Gregory Maguire,251
Yann Martel,252
Ruth Rendell,253
Al Franken,254
Donna Tartt,255
John Milne,256
Terry Pratchett,257
E. B. White,258
Garth Williams,259
J. M. Barrie,260
Mary O'Hara,261
Paul Kidby,262
Louise Rennison,263
JANE AUSTEN,264
Kenneth Grahame,265
Bernard Cornwell,266
Charles De Lint,267
Lord Dunsany,268
Neil Gaiman,269
Georgette Heyer,270
Oscar Wilde,271
Jeffrey Eugenides,272
Ted Hughes,273
Andrew Davidson,274
Roald Dahl,275
Quentin Blake,276
Donna Jo Napoli,277
A.S. Byatt,278
Tanuja Desai Hidier,279
Sophie Kinsella,280
Isabel Wolff,281
Louisa May Alcott,282
Margaret Drabble,283
George Orwell,284
Charles Dickens,285
Isabel Allende,286
Ellen Datlow,287
Terri Windling,288
Charles Vess,289
Neil Gaim,290
Joseph Heller,291
John Galsworthy,292
Enid Blyton,293
Alan Moore,294
Kevin O'Neill,295
Ben Dimagmaliw,296
Sam Kieth,297
Mike Dringenberg,298
Malcolm Jon,299
John Bolton,300
Trudy Suggs,301
Tom Wolfe,302
Brady Udall,303
Homer Hickam,304
Pearl Abraham,305
Sebastian Junger,306
Karen Armstrong,307
Mary Barnard,308
Dudley Fitts,309
David Brin,310
T. C. Boyle,311
T. Coraghessan Boyle,312
Plato,313
Alexander Nehamas,314
Paul Woodruff,315
Lynda Madaras,316
Dane Saavedra,317
Jackie Aher,318
Stephen Mccauley,319
Isabelle Holland,320
Pam Conrad,321
Lurlene Mcdaniel,322
Brian Kaufman,323
John Darnton,324
Martin Schenk,325
David Eddings,326
Leigh Eddings,327
Paul Reiser,328
David G. Hartwell,329
Kathryn Cramer,330
Dave Barry,331
John R. Holt,332
Theodore Beale,333
Frank M. Robinson,334
Mary Jane Clark,335
Mary Shelley,336
Robert Westall,337
Robert B. Parker,338
Rita Chapman Works,339
Mark Carwardine,340
A. Manette Ansay,341
Sarah Waters,342
Anne Frank,343
Barry Lopez,344
Greg Palast,345
Andrea Kane,346
Nevada Barr,347
Margaret Maron,348
Edna Barker,349
Shelagh Rogers,350
Muriel Whitaker,351
John Irving,352
William Golding,353
Hermann Stiehl,354
HarperReference,355
LTD,356
Ann Patchett,357
Lane Smith,358
Sue Monk; Sue Monk Kidd Kidd,359
Roseanne J. Serra (Co,360
Bob Thiele,361
Bob Golden,362
Steve Allen,363
Colleen Mccullough,364
Joanne Harris,365
Thomas Cahill,366
Michael Hudson,367
Jane Smiley,368
Dick Francis,369
Nora Roberts,370
Jean Marzollo,371
Walter Wick,372
Carol Devine Carson,373
Barbara Delinsky,374
P. D. James,375
Arthur W. Upfield,376
Christopher Rice,377
Rex Stout,378
Joan Anderson,379
Vance Havner,380
Warren W. Wiersbe,381
Max Lucado,382
Larry Crabb,383
Barry Neil Kaufman,384
Bob Sjogren,385
Frederick J. Moody,386
Neal Pirolo,387
William Sleator,388
Antoine De Saint-Exupery,389
Richard Bach,390
Kevin Sullivan,391
Michele Morgan,392
Scott Cunningham,393
David Allen Hulse,394
Richard Webster,395
Bernard King,396
Pat Hutchins,397
William Shakespeare,398
Roma Gill,399
Melissa McClone,400
Cheryl St. John,401
Lewis Carroll,402
Martin Gardner,403
Mark Twain,404
Mary Crow Dog,405
Richard Erdoes,406
Linda Gordon,407
Florence King,408
Alice Sebold,409
Spalding Gray,410
